지역,GS칼텍스_셀프,GS칼텍스_일반,S-OIL_셀프,S-OIL_일반,SK에너지_셀프,SK에너지_일반,알뜰(ex)_셀프,알뜰주유소_셀프,알뜰주유소_일반,자가상표_일반,현대오일뱅크_셀프,현대오일뱅크_일반
서울 강남구,1443.44,1627.111111111111,1420.76,1593.25,1416.86625,1734.166666666667,,,,,1385.23,1525.705
서울 강동구,1413.275,1430.353333333333,1418.97,1498.0,1445.0,1653.695,,,,,1403.063333333333,1424.34
서울 강북구,1293.675,1313.19,1275.1,1325.71,1329.69,1295.84,,,,,1322.3,
서울 강서구,1361.773333333333,1385.84,1376.913333333333,,1325.516666666667,1433.664,,1273.11,1264.06,,1299.24,1362.53
서울 관악구,1415.45,1429.97,,1397.015,1411.84,1436.28,,1313.0,1329.45,,1392.55,1407.05
서울 광진구,,1360.394,1337.16,1344.97,,1373.623333333333,,,1309.19,,1358.733333333333,1337.94
서울 구로구,1285.94,1511.173333333333,1286.42,1393.832,,1336.065,,,1321.77,,1314.235,1391.17
서울 금천구,1313.94,,1305.565,1287.58,,1351.6,,1282.46,1291.67,,1313.035,1379.39
서울 노원구,1340.89,1421.85,1370.966666666666,,1373.275,1398.0,,,,,,1431.435
서울 도봉구,1331.92,1327.32,1329.896,1557.0,1291.47,,,,,,1345.106666666667,1309.936666666667
서울 동대문구,1305.485,1304.98,1296.39,1372.5,1367.55,1383.838,,,,,1329.1,1386.7275
서울 동작구,1413.84,1345.275,,1358.03,,1484.35,,,,,1393.29,1388.84
서울 마포구,,1371.19,1408.97,1556.175,,1493.846,,,,,1453.0,1420.58
서울 서대문구,1357.69,1358.23,1351.905,1320.81,1360.226666666667,1352.713333333333,,,,,1352.84,1357.805
서울 서초구,1391.77,1408.22,1388.463333333333,1629.94,1402.27,1590.833333333333,1272.39,,,,1417.29,1468.968
서울 성동구,1361.45,1650.0,1312.23,1342.19,1418.77,1471.978333333333,,,,1299.58,1350.725,1572.695
서울 성북구,1299.24,1333.71,1301.643333333333,1354.725,1309.065,1407.23,,,1263.84,,1306.835,1353.16
서울 송파구,1364.285,1381.45,1356.13,1412.84,1359.053333333333,1431.8125,,,,,1367.14,1378.28
서울 양천구,1312.826666666667,1323.05,1269.06,,1333.678,1447.435,,1292.87,,,1347.365,1401.385
서울 영등포구,1350.4375,1580.468333333333,1349.94,1345.0,1338.7425,1600.968333333333,,1276.42,,,1349.728,1494.0
서울 용산구,,1769.3625,,,,1885.408333333333,,,,,,1800.5075
서울 은평구,1332.586,1341.52,1338.05,,1334.8375,,,,,1418.0,1314.87,1399.0
서울 종로구,,1989.0,,1459.0,1425.0,1943.0,,,,,,1665.775
서울 중구,,2067.053333333333,,1758.0,,1945.522,,,1401.87,,,1618.0
서울 중랑구,1315.525,1305.71,1303.493333333333,1359.885,1347.5875,,,,,,1338.42,1291.19
